date,AUD 0-1 year,date,AUD 1-3 years,date,AUD 3-7 years,date,AUD 7-15 years,date,CAD 0-1 year,date,CAD 1-3 years,date,CAD 3-7 years,date,CAD 7-15 years,,EUR 0-1 year,,EUR 1-3 years,,EUR 3-7 years,,EUR 7-15 years,,GBP 0-1 year,,GBP 1-3 years,,GBP 3-7 years,,GBP 7-15 years,,JPY 0-1 year,,JPY 1-3 years,,JPY 3-7 years,,JPY 7-15 years,,NOK 0-1 year,,NOK 1-3 years,,NOK 3-7 years,,NOK 7-15 years,,NZD 0-1 year,,NZD 1-3 years,,NZD 3-7 years,,NZD 7-15 years,,USD 0-1 year,,USD 1-3 years,,USD 3-7 years,,USD 7-15 years
31/12/2007,7.4025,31/12/2007,6.852,31/12/2007,6.708,31/12/2007,6.326,31/12/2007,3.964,31/12/2007,3.749,31/12/2007,3.873,31/12/2007,3.99,31/12/2007,3.897,31/12/2007,3.964,31/12/2007,4.119,31/12/2007,4.307,31/12/2007,5.94,31/12/2007,4.359,31/12/2007,4.407,31/12/2007,4.508,31/12/2007,0.556,31/12/2007,0.715,31/12/2007,1.015,31/12/2007,1.51,31/12/2007,5.02,31/12/2007,5.745,31/12/2007,5.455,31/12/2007,4.687,31/12/2007,7.685,31/12/2007,8.665,31/12/2007,7.096,31/12/2007,6.381,31/12/2007,3.389,31/12/2007,3.0466,31/12/2007,3.4397,31/12/2007,4.0232
31/01/2008,7.455,31/01/2008,6.645,31/01/2008,6.48,31/01/2008,6.088,31/01/2008,3.385,31/01/2008,3.179,31/01/2008,3.5,31/01/2008,3.878,31/01/2008,3.81,31/01/2008,3.373,31/01/2008,3.552,31/01/2008,3.93,31/01/2008,5.53,31/01/2008,4.292,31/01/2008,4.26,31/01/2008,4.477,31/01/2008,0.509,31/01/2008,0.55,31/01/2008,0.889,31/01/2008,1.44,31/01/2008,5.14,31/01/2008,5.415,31/01/2008,5.13,31/01/2008,4.329,31/01/2008,7.805,31/01/2008,8.315,31/01/2008,6.796,31/01/2008,6.233,31/01/2008,2.054,31/01/2008,2.0929,31/01/2008,2.7604,31/01/2008,3.5931
29/02/2008,8.1425,29/02/2008,6.72,29/02/2008,6.556,29/02/2008,6.213,29/02/2008,3.023,29/02/2008,2.783,29/02/2008,3.141,29/02/2008,3.64,29/02/2008,3.806,29/02/2008,3.16,29/02/2008,3.368,29/02/2008,3.891,29/02/2008,5.695,29/02/2008,4.069,29/02/2008,4.121,29/02/2008,4.469,29/02/2008,0.559,29/02/2008,0.565,29/02/2008,0.839,29/02/2008,1.365,29/02/2008,5.33,29/02/2008,5.585,29/02/2008,5.165,29/02/2008,4.306,31/12/2008,0.01,29/02/2008,8.395,29/02/2008,6.879,29/02/2008,6.371,29/02/2008,1.8154,29/02/2008,1.6158,29/02/2008,2.4689,29/02/2008,3.5092
31/03/2008,7.9775,31/03/2008,6.201,31/03/2008,6.088,31/03/2008,6.054,31/03/2008,2.251,31/03/2008,2.624,31/03/2008,2.913,31/03/2008,3.44,31/03/2008,3.637,31/03/2008,3.431,31/03/2008,3.6,31/03/2008,3.899,31/03/2008,5.975,31/03/2008,3.829,31/03/2008,3.893,31/03/2008,4.348,31/03/2008,0.545,31/03/2008,0.575,31/03/2008,0.749,31/03/2008,1.284,31/03/2008,5.01,31/03/2008,5.89,31/03/2008,5.32,31/03/2008,4.332,31/03/2009,3.23,31/03/2008,8.145,31/03/2008,6.421,31/03/2008,6.398,31/03/2008,1.4807,31/03/2008,1.5824,31/03/2008,2.4365,31/03/2008,3.4096
30/04/2008,8.005,30/04/2008,6.471,30/04/2008,6.256,30/04/2008,6.286,30/04/2008,2.686,30/04/2008,2.746,30/04/2008,3.06,30/04/2008,3.588,30/04/2008,3.849,30/04/2008,3.757,30/04/2008,3.877,30/04/2008,4.123,30/04/2008,5.83813,30/04/2008,4.418,30/04/2008,4.366,30/04/2008,4.67,30/04/2008,0.57,30/04/2008,0.785,30/04/2008,1.159,30/04/2008,1.585,30/04/2008,5.6,30/04/2008,6.025,30/04/2008,5.53,30/04/2008,4.524,30/04/2009,2.79,30/04/2008,8.035,30/04/2008,6.701,30/04/2008,6.538,30/04/2008,1.6148,30/04/2008,2.2537,30/04/2008,3.0097,30/04/2008,3.7279
30/05/2008,7.95,30/05/2008,6.842,30/05/2008,6.59,30/05/2008,6.53,30/05/2008,2.696,30/05/2008,3.019,30/05/2008,3.341,30/05/2008,3.711,30/05/2008,4.011,30/05/2008,4.316,30/05/2008,4.303,30/05/2008,4.405,30/05/2008,5.98438,30/05/2008,5.074,30/05/2008,4.943,30/05/2008,4.986,30/05/2008,0.599,30/05/2008,0.915,30/05/2008,1.335,30/05/2008,1.759,30/05/2008,5.84,30/05/2008,6.465,30/05/2008,5.8348,30/05/2008,4.788,30/06/2009,2.73,30/05/2008,8.075,30/05/2008,6.561,30/05/2008,6.461,30/05/2008,2.0068,30/05/2008,2.6411,30/05/2008,3.4177,30/05/2008,4.0595
30/06/2008,8.1,30/06/2008,6.806,30/06/2008,6.561,30/06/2008,6.447,30/06/2008,3.006,30/06/2008,3.245,30/06/2008,3.458,30/06/2008,3.734,30/06/2008,4.35,30/06/2008,4.597,30/06/2008,4.636,30/06/2008,4.621,30/06/2008,6.15813,30/06/2008,5.226,30/06/2008,5.177,30/06/2008,5.13,30/06/2008,0.573,30/06/2008,0.805,30/06/2008,1.18,30/06/2008,1.601,30/06/2008,6.07,30/06/2008,6.849,30/06/2008,6.2781,30/06/2008,5.091,31/07/2009,2.7,30/06/2008,7.815,30/06/2008,6.318,30/06/2008,6.34,30/06/2008,2.1515,30/06/2008,2.6164,30/06/2008,3.3271,30/06/2008,3.969
31/07/2008,7.9175,31/07/2008,6.313,31/07/2008,6.149,31/07/2008,6.218,31/07/2008,2.751,31/07/2008,2.941,31/07/2008,3.248,31/07/2008,3.701,31/07/2008,4.298,31/07/2008,4.26,31/07/2008,4.272,31/07/2008,4.355,31/07/2008,5.98,31/07/2008,4.803,31/07/2008,4.783,31/07/2008,4.806,31/07/2008,0.599,31/07/2008,0.79,31/07/2008,1.114,31/07/2008,1.539,31/07/2008,5.94,31/07/2008,6.5975,31/07/2008,6.0324,31/07/2008,4.916,31/08/2009,2.82,31/07/2008,7.245,31/07/2008,6.131,31/07/2008,6.125,31/07/2008,1.8623,31/07/2008,2.5079,31/07/2008,3.2351,31/07/2008,3.9462
29/08/2008,7.32,29/08/2008,5.71,29/08/2008,5.69,29/08/2008,5.759,29/08/2008,2.655,29/08/2008,2.709,29/08/2008,3.027,29/08/2008,3.534,29/08/2008,4.247,29/08/2008,4.111,29/08/2008,4.095,29/08/2008,4.176,29/08/2008,5.91188,29/08/2008,4.505,29/08/2008,4.432,29/08/2008,4.48,29/08/2008,0.56,29/08/2008,0.726,29/08/2008,0.981,29/08/2008,1.415,29/08/2008,6.06,29/08/2008,6.426,29/08/2008,5.7745,29/08/2008,4.677,30/09/2009,2.75,29/08/2008,7.34,29/08/2008,6.041,29/08/2008,5.992,29/08/2008,1.9446,29/08/2008,2.3669,29/08/2008,3.0876,29/08/2008,3.8116
30/09/2008,7.8,30/09/2008,5.106,30/09/2008,5.188,30/09/2008,5.395,30/09/2008,2.231,30/09/2008,2.777,30/09/2008,3.156,30/09/2008,3.757,30/09/2008,3.072,30/09/2008,3.476,30/09/2008,3.768,30/09/2008,4.015,30/09/2008,6.40125,30/09/2008,4.012,30/09/2008,4.201,30/09/2008,4.449,30/09/2008,0.56,30/09/2008,0.764,30/09/2008,1.054,30/09/2008,1.472,30/09/2008,5.21,30/09/2008,6.31,30/09/2008,5.543,30/09/2008,4.238,30/10/2009,2.79,30/09/2008,6.81,30/09/2008,5.553,30/09/2008,5.672,30/09/2008,1.6045,30/09/2008,1.9599,30/09/2008,2.9793,30/09/2008,3.8234
